
Instance Name       Completion Time     Objective Value     Obj. Func. LB       Gap                 Nb. of ULs          Nb. of Desired ULs  Grid Occupancy      UL Occupancy        
Instance_186_large  600227.611000       1153.000000         1151.000000         0.001735            280                 18                  0.736842            0.064286            
Instance_187_large  45854.093900        979.000000          979.000000          0.000000            280                 18                  0.736842            0.064286            
Instance_188_large  600429.694800       1096.000000         1065.000000         0.028285            280                 18                  0.666667            0.064286            
Instance_189_large  600516.587400       900.000000          874.000000          0.028889            280                 18                  0.636364            0.064286            
Instance_190_large  600158.849500       886.000000          859.000000          0.030474            280                 18                  0.700000            0.064286            
Instance_191_large  600153.927000       1650.000000         1637.000000         0.007879            420                 18                  0.750000            0.042857            
Instance_192_large  477008.844000       1724.000000         1724.000000         0.000000            420                 18                  0.750000            0.042857            
Instance_193_large  600245.465400       1872.000000         1846.000000         0.013889            420                 18                  0.750000            0.042857            
Instance_194_large  600211.717000       1579.000000         1537.000000         0.026599            420                 18                  0.750000            0.042857            
Instance_195_large  225237.790000       1718.000000         1718.000000         0.000000            420                 18                  0.750000            0.042857            
Instance_196_large  442845.132600       1490.000000         1490.000000         0.000000            420                 18                  0.777778            0.042857            
Instance_197_large  600123.402500       1682.000000         1667.000000         0.008918            420                 18                  0.750000            0.042857            
Instance_198_large  600139.092800       2091.000000         2078.000000         0.006217            420                 18                  0.750000            0.042857            
Instance_199_large  600307.434400       1691.000000         1670.000000         0.012419            420                 18                  0.750000            0.042857            
Instance_200_large  600072.496500       1538.000000         1532.000000         0.003901            420                 18                  0.750000            0.042857            
Instance_201_large  600028.667900       2512.000000         2483.000000         0.011545            560                 18                  1.000000            0.032143            
Instance_202_large  600461.556200       2584.000000         2543.000000         0.015867            560                 18                  1.000000            0.032143            
Instance_203_large  600184.812300       1775.000000         1759.000000         0.009014            560                 18                  1.000000            0.032143            
Instance_204_large  600121.234900       2314.000000         2309.000000         0.002161            560                 18                  1.000000            0.032143            
Instance_205_large  182090.231400       2175.000000         2175.000000         0.000000            560                 18                  1.000000            0.032143            
Instance_206_large  600092.203700       3118.000000         3109.000000         0.002886            560                 18                  1.000000            0.032143            
Instance_207_large  600446.720300       1724.000000         1693.000000         0.017981            560                 18                  1.000000            0.032143            
Instance_208_large  600162.997000       1976.000000         1938.000000         0.019231            560                 18                  1.000000            0.032143            
Instance_209_large  600152.749900       1845.000000         1833.000000         0.006504            560                 18                  1.000000            0.032143            
Instance_210_large  600173.849100       1720.000000         1687.000000         0.019186            560                 18                  1.000000            0.032143            
Instance_211_large  128045.755500       1288.000000         1288.000000         0.000000            336                 18                  0.608696            0.053571            
Instance_212_large  398210.768900       1250.000000         1250.000000         0.000000            336                 18                  0.636364            0.053571            
Instance_213_large  74525.961200        937.000000          937.000000          0.000000            336                 18                  0.700000            0.053571            
Instance_214_large  441977.681900       1429.000000         1429.000000         0.000000            336                 18                  0.700000            0.053571            
Instance_215_large  88939.869800        982.000000          982.000000          0.000000            336                 18                  0.636364            0.053571            
Instance_216_large  600344.918100       970.000000          959.000000          0.011340            336                 18                  0.538462            0.053571            
Instance_217_large  600255.979600       1249.000000         1238.000000         0.008807            336                 18                  0.636364            0.053571            
Instance_218_large  600290.484300       1134.000000         1122.000000         0.010582            336                 18                  0.666667            0.053571            
Instance_219_large  600182.402700       1093.000000         1082.000000         0.010064            336                 18                  0.700000            0.053571            
Instance_220_large  600206.351200       1363.000000         1361.000000         0.001467            336                 18                  0.538462            0.053571            
Instance_221_large  600155.694800       1818.000000         1810.000000         0.004400            504                 18                  0.750000            0.035714            
Instance_222_large  261383.779700       2105.000000         2105.000000         0.000000            504                 18                  0.750000            0.035714            
Instance_223_large  600230.431400       1926.000000         1912.000000         0.007269            504                 18                  0.750000            0.035714            
Instance_224_large  600139.275300       1888.000000         1884.000000         0.002119            504                 18                  0.750000            0.035714            
Instance_225_large  600256.817000       1760.000000         1725.000000         0.019886            504                 18                  0.750000            0.035714            
Instance_226_large  600172.704600       1516.000000         1504.000000         0.007916            504                 18                  0.750000            0.035714            
Instance_227_large  600050.702200       1610.000000         1601.000000         0.005590            504                 18                  0.750000            0.035714            
Instance_228_large  600099.524900       2063.000000         2050.000000         0.006302            504                 18                  0.750000            0.035714            
Instance_229_large  600235.464900       1355.000000         1335.000000         0.014760            504                 18                  0.750000            0.035714            
Instance_230_large  600398.939300       2003.000000         1988.000000         0.007489            504                 18                  0.750000            0.035714            
Instance_231_large  305422.014300       2093.000000         2093.000000         0.000000            672                 18                  1.000000            0.026786            
Instance_232_large  600234.487300       2288.000000         2262.000000         0.011364            672                 18                  1.000000            0.026786            
Instance_233_large  600196.016200       2637.000000         2625.000000         0.004551            672                 18                  1.000000            0.026786            
Instance_234_large  600199.435600       2518.000000         2494.000000         0.009531            672                 18                  1.000000            0.026786            
Instance_235_large  600111.791100       4010.000000         3999.000000         0.002743            672                 18                  1.000000            0.026786            
Instance_236_large  600081.724000       2810.000000         2783.000000         0.009609            672                 18                  1.000000            0.026786            
Instance_237_large  600232.773500       2878.000000         2852.000000         0.009034            672                 18                  1.000000            0.026786            
Instance_238_large  600220.672500       3150.000000         3140.000000         0.003175            672                 18                  1.000000            0.026786            
Instance_239_large  600166.389700       2552.000000         2540.000000         0.004702            672                 18                  1.000000            0.026786            
Instance_240_large  600149.684700       2553.000000         2535.000000         0.007051            672                 18                  1.000000            0.026786            
Instance_241_large  50488.254900        954.000000          954.000000          0.000000            392                 18                  0.583333            0.045918            
Instance_242_large  324287.932700       1435.000000         1435.000000         0.000000            392                 18                  0.700000            0.045918            
Instance_243_large  600032.747900       1177.000000         1160.000000         0.014444            392                 18                  0.636364            0.045918            
Instance_244_large  282791.816200       1547.000000         1547.000000         0.000000            392                 18                  0.636364            0.045918            
Instance_245_large  307454.082300       1094.000000         1094.000000         0.000000            392                 18                  0.636364            0.045918            
Instance_246_large  600139.879100       1308.000000         1300.000000         0.006116            392                 18                  0.700000            0.045918            
Instance_247_large  600051.902900       1876.000000         1865.000000         0.005864            392                 18                  0.777778            0.045918            
Instance_248_large  277563.254400       1252.000000         1252.000000         0.000000            392                 18                  0.666667            0.045918            
Instance_249_large  121826.820600       1308.000000         1308.000000         0.000000            392                 18                  0.666667            0.045918            
Instance_250_large  457793.679500       1507.000000         1507.000000         0.000000            392                 18                  0.608696            0.045918            
Instance_251_large  600105.588300       2817.000000         2806.000000         0.003905            588                 18                  0.750000            0.030612            
Instance_252_large  179461.137400       2374.000000         2374.000000         0.000000            588                 18                  0.750000            0.030612            
Instance_253_large  600118.589800       2142.000000         2123.000000         0.008870            588                 18                  0.777778            0.030612            
Instance_254_large  569542.173300       2767.000000         2767.000000         0.000000            588                 18                  0.750000            0.030612            
Instance_255_large  600032.038900       2521.000000         2509.000000         0.004760            588                 18                  0.750000            0.030612            
Instance_256_large  157579.828900       2300.000000         2300.000000         0.000000            588                 18                  0.750000            0.030612            
Instance_257_large  600074.639400       2634.000000         2618.000000         0.006074            588                 18                  0.750000            0.030612            
Instance_258_large  447927.225900       2894.000000         2894.000000         0.000000            588                 18                  0.750000            0.030612            
Instance_259_large  600113.400800       2330.000000         2325.000000         0.002146            588                 18                  0.750000            0.030612            
Instance_260_large  600045.247600       2796.000000         2786.000000         0.003577            588                 18                  0.750000            0.030612            
Instance_261_large  600149.214600       3511.000000         3491.000000         0.005696            784                 18                  1.000000            0.022959            
Instance_262_large  600178.130500       3760.000000         3735.000000         0.006649            784                 18                  1.000000            0.022959            
Instance_263_large  600269.145800       3160.000000         3144.000000         0.005063            784                 18                  1.000000            0.022959            
Instance_264_large  600275.635700       2309.000000         2284.000000         0.010827            784                 18                  1.000000            0.022959            
Instance_265_large  600122.546000       3081.000000         3074.000000         0.002272            784                 18                  1.000000            0.022959            
Instance_266_large  600197.484800       3103.000000         3081.000000         0.007090            784                 18                  1.000000            0.022959            
Instance_267_large  600274.886800       2469.000000         2446.000000         0.009316            784                 18                  1.000000            0.022959            
Instance_268_large  68083.370900        2771.000000         2771.000000         0.000000            784                 18                  1.000000            0.022959            
Instance_269_large  600164.508400       3231.000000         3216.000000         0.004643            784                 18                  1.000000            0.022959            
Instance_270_large  171094.575900       2903.000000         2903.000000         0.000000            784                 18                  1.000000            0.022959            
Instance_271_large  110093.555200       560.000000          560.000000          0.000000            200                 21                  0.666667            0.105000            
Instance_272_large  600210.854400       584.000000          567.000000          0.029110            200                 21                  0.666667            0.105000            
Instance_273_large  600244.114100       604.000000          585.000000          0.031457            200                 21                  0.714286            0.105000            
Instance_274_large  600586.652500       568.000000          518.000000          0.088028            200                 21                  0.666667            0.105000            
Instance_275_large  600598.419500       508.000000          458.000000          0.098425            200                 21                  0.714286            0.105000            
Instance_276_large  600305.693800       647.000000          625.000000          0.034003            200                 21                  0.625000            0.105000            
Instance_277_large  600212.155300       600.000000          576.000000          0.040000            200                 21                  0.555556            0.105000            
Instance_278_large  114765.394200       385.000000          385.000000          0.000000            200                 21                  0.588235            0.105000            
Instance_279_large  600213.908600       808.000000          772.000000          0.044554            200                 21                  0.714286            0.105000            
Instance_280_large  600288.226300       651.000000          630.000000          0.032258            200                 21                  0.588235            0.105000            
Instance_281_large  600308.964900       948.000000          904.000000          0.046414            300                 21                  0.750000            0.070000            
Instance_282_large  600341.052000       1302.000000         1225.000000         0.059140            300                 21                  0.750000            0.070000            
Instance_283_large  600359.444600       888.000000          823.000000          0.073198            300                 21                  0.750000            0.070000            
Instance_284_large  600306.229200       894.000000          839.000000          0.061521            300                 21                  0.750000            0.070000            
Instance_285_large  600286.742300       1102.000000         1036.000000         0.059891            300                 21                  0.750000            0.070000            
Instance_286_large  600136.703900       1189.000000         1171.000000         0.015139            300                 21                  0.750000            0.070000            
Instance_287_large  598495.217400       1093.000000         1024.000000         0.063129            300                 21                  0.750000            0.070000            
Instance_288_large  600323.477600       1053.000000         1005.000000         0.045584            300                 21                  0.750000            0.070000            
Instance_289_large  600424.953100       941.000000          922.000000          0.020191            300                 21                  0.750000            0.070000            
Instance_290_large  600303.133900       1036.000000         977.000000          0.056950            300                 21                  0.750000            0.070000            
Instance_291_large  600332.988200       1430.000000         1374.000000         0.039161            400                 21                  1.000000            0.052500            
Instance_292_large  601223.992600       1155.000000         1099.000000         0.048485            400                 21                  1.000000            0.052500            
Instance_293_large  600113.356900       1558.000000         1536.000000         0.014121            400                 21                  1.000000            0.052500            
Instance_294_large  600553.743000       1306.000000         1215.000000         0.069678            400                 21                  1.000000            0.052500            
Instance_295_large  600428.951500       1424.000000         1374.000000         0.035112            400                 21                  1.000000            0.052500            
Instance_296_large  600425.569400       1428.000000         1371.000000         0.039916            400                 21                  1.000000            0.052500            
Instance_297_large  600386.044500       1182.000000         1130.000000         0.043993            400                 21                  1.000000            0.052500            
Instance_298_large  600470.501500       1080.000000         1031.000000         0.045370            400                 21                  1.000000            0.052500            
Instance_299_large  600289.538600       1181.000000         1125.000000         0.047417            400                 21                  1.000000            0.052500            
Instance_300_large  600261.185300       1432.000000         1374.000000         0.040503            400                 21                  1.000000            0.052500            
Instance_301_large  439556.902900       709.000000          709.000000          0.000000            240                 21                  0.500000            0.087500            
Instance_302_large  600609.224000       821.000000          803.000000          0.021924            240                 21                  0.666667            0.087500            
Instance_303_large  600280.369900       746.000000          722.000000          0.032172            240                 21                  0.625000            0.087500            
Instance_304_large  600537.553000       675.000000          659.000000          0.023704            240                 21                  0.588235            0.087500            
Instance_305_large  600442.389200       659.000000          621.000000          0.057663            240                 21                  0.625000            0.087500            
Instance_306_large  600347.281800       653.000000          609.000000          0.067381            240                 21                  0.625000            0.087500            
Instance_307_large  600315.006400       638.000000          627.000000          0.017241            240                 21                  0.666667            0.087500            
Instance_308_large  600291.272800       562.000000          560.000000          0.003559            240                 21                  0.625000            0.087500            
Instance_309_large  413236.801500       636.000000          636.000000          0.000000            240                 21                  0.625000            0.087500            
Instance_310_large  600304.683200       801.000000          786.000000          0.018727            240                 21                  0.500000            0.087500            
Instance_311_large  600495.560100       1189.000000         1151.000000         0.031960            360                 21                  0.750000            0.058333            
Instance_312_large  600187.350000       1390.000000         1358.000000         0.023022            360                 21                  0.750000            0.058333            
Instance_313_large  600563.593100       1222.000000         1162.000000         0.049100            360                 21                  0.750000            0.058333            
Instance_314_large  600151.045900       1203.000000         1182.000000         0.017456            360                 21                  0.750000            0.058333            
Instance_315_large  600581.125100       1501.000000         1448.000000         0.035310            360                 21                  0.750000            0.058333            
Instance_316_large  600815.311300       1533.000000         1478.000000         0.035877            360                 21                  0.750000            0.058333            
Instance_317_large  600203.344300       1677.000000         1647.000000         0.017889            360                 21                  0.750000            0.058333            
Instance_318_large  601684.075000       902.000000          890.000000          0.013304            360                 21                  0.750000            0.058333            
Instance_319_large  600386.572100       1446.000000         1401.000000         0.031120            360                 21                  0.750000            0.058333            
